ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched,squared_error,absolute_error
KXNFLTOTAL-25OCT19PHIMIN-37,Philadelphia at Minnesota: Total Points Total Points?,yes,1.0,2025-10,high,last_preclose,1760906097,1760904000.0,2097.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLTOTAL-25OCT20TBDET-61,Tampa Bay at Detroit: Total Points Total Points?,no,0.0,2025-10,high,last_preclose,1761014392,1761012000.0,2392.0,0.01,True,0.0001,0.01
KXNFLTOTAL-25OCT26TENIND-50,Tennessee at Indianapolis: Total Points,yes,1.0,2025-10,high,last_preclose,1761521849,1761519600.0,2249.0,0.76,True,0.0576,0.24
KXNHLGAME-25OCT18FLABUF-FLA,Florida vs Buffalo Winner?,no,0.0,2025-10,high,last_preclose,1760820268,1760817600.0,2668.0,0.01,True,0.0001,0.01
KXECBMENTION-25OCT31-CRED,What will Christine Lagarde say during ECB Governing Council Press Conference on October 30th?,yes,1.0,2025-10,low,last_preclose,1761869558,1761843600.0,25958.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNASCARRACE-BANOAR25-JOBE,Bank of America ROVAL 400Winner,no,0.0,2025-10,low,last_preclose,1759702835,1759694400.0,8435.0,0.01,True,0.0001,0.01
KXNBASPREAD-25OCT24SASNOP-SAS18,San Antonio wins by over 18.5 Points?,no,0.0,2025-10,low,last_preclose,1761364019,1761354000.0,10019.0,0.01,True,0.0001,0.01
KXNCAAFSPREAD-25OCT18BAYTCU-BAY4,Baylor wins by over 4.5 points?,no,0.0,2025-10,low,last_preclose,1760829080,1760824800.0,4280.0,0.38,True,0.1444,0.38
KXNCAAFSPREAD-25OCT18UNLVBSU-BSU3,Boise St. wins by over 3.5 points?,yes,1.0,2025-10,low,last_preclose,1760831436,1760828400.0,3036.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFTOTAL-25OCT11M-OHAKR-43,Miami (OH) at Akron: Total Points Total Points?,no,0.0,2025-10,low,last_preclose,1760213461,1760212800.0,661.0,0.01,True,0.0001,0.01
KXNCAAFTOTAL-25OCT25BALLNIU-44,Ball St. at Northern Illinois: Total Points Total Points?,no,0.0,2025-10,low,last_preclose,1761433933,1761433200.0,733.0,0.01,True,0.0001,0.01
KXNCAAFTOTAL-25OCT25ILLWASH-61,Illinois at Washington: Total Points Total Points?,yes,1.0,2025-10,low,last_preclose,1761435867,1761433200.0,2667.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFTOTAL-25OCT25WMUM-OH-47,Western Michigan at Miami (OH): Total Points Total Points?,no,0.0,2025-10,low,last_preclose,1761434491,1761433200.0,1291.0,0.01,True,0.0001,0.01
KXNFLSPREAD-25OCT05LVIND-LV2,Las Vegas wins by over 2.5 points?,no,0.0,2025-10,low,last_preclose,1759696515,1759683600.0,12915.0,0.23,True,0.0529,0.23
KXNFLSPREAD-25OCT19INDLAC-LAC4,Los Angeles C wins by over 4.5 points?,no,0.0,2025-10,low,last_preclose,1760916609,1760914800.0,1809.0,0.01,True,0.0001,0.01
KXNFLWINS-GB-25B-T2,Will the Green Bay pro football team win more than 2 times this season?,yes,1.0,2025-10,low,last_preclose,1760367342,1759107600.0,1259742.0,0.98,True,0.0004000000000000007,0.020000000000000018
KXEARNINGSMENTIONBAC-25OCT15-TARF,What will Bank of America Corporation say during their next earnings call?,yes,1.0,2025-10,mid,last_preclose,1760547903,1760547600.0,303.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXLCKAHRIPICK-25,Will Ahri be picked in the LCK finals in 2025?,no,0.0,2025-10,mid,last_preclose,1759716918,1759636800.0,80118.0,0.01,True,0.0001,0.01
KXMLBTOTAL-25OCT17TORSEA-13,Toronto vs Seattle (Game 5) Total Runs?,no,0.0,2025-10,mid,last_preclose,1760750089,1760745600.0,4489.0,0.01,True,0.0001,0.01
KXMLBWINS-CHC-25-T80,Will the Chicago C pro baseball team win more than 80 times this season?,yes,1.0,2025-10,mid,last_preclose,1759285986,1758952800.0,333186.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNBASPREAD-25OCT22NOPMEM-MEM7,Memphis wins by over 7.5 Points?,no,0.0,2025-10,mid,last_preclose,1761188687,1761188400.0,287.0,0.01,True,0.0001,0.01
KXNBATOTAL-25OCT26MILCLE-240,Milwaukee at Cleveland: Total Points,no,0.0,2025-10,mid,last_preclose,1761527742,1761526800.0,942.0,0.01,True,0.0001,0.01
KXNCAAFSPREAD-25OCT15DELJVST-DEL1,Delaware wins by over 1.5 points?,no,0.0,2025-10,mid,last_preclose,1760586317,1760583600.0,2717.0,0.01,True,0.0001,0.01
KXNCAAFSPREAD-25OCT18MSUIND-IND20,Indiana wins by over 20.5 points?,yes,1.0,2025-10,mid,last_preclose,1760830280,1760828400.0,1880.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNCAAFSPREAD-25OCT25TXAMLSU-LSU8,LSU wins by over 8.5 points?,no,0.0,2025-10,mid,last_preclose,1761452239,1761447600.0,4639.0,0.01,True,0.0001,0.01
KXNCAAFSPREAD-25OCT29JVSTMTU-JVST7,Jacksonville St. wins by over 7.5 points?,no,0.0,2025-10,mid,last_preclose,1761794705,1761793200.0,1505.0,0.69,True,0.4760999999999999,0.69
KXNCAAFTOTAL-25OCT04ILLPUR-51,Illinois at Purdue: Point Total Total Points?,yes,1.0,2025-10,mid,last_preclose,1759610731,1759604400.0,6331.0,0.98,True,0.0004000000000000007,0.020000000000000018
KXNCAAFTOTAL-25OCT11SCARLSU-37,South Carolina at LSU: Total Points Total Points?,no,0.0,2025-10,mid,last_preclose,1760242603,1760241600.0,1003.0,0.01,True,0.0001,0.01
KXNCAAFTOTAL-25OCT23USAGAST-53,South Alabama at Georgia St.: Total Points Total Points?,yes,1.0,2025-10,mid,last_preclose,1761276890,1761274800.0,2090.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLANYTD-25OCT05HOUBAL-HOUNCOLLINS12,Houston at Baltimore: Anytime Touchdown Scorer: Nico Collins,yes,1.0,2025-10,mid,last_preclose,1759687224,1759687200.0,24.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXNFLFIRSTTD-25OCT30BALMIA-MIATCONNER80,Baltimore at Miami: First Touchdown Scorer: Tanner Conner,no,0.0,2025-10,mid,last_preclose,1761872465,1761872400.0,65.0,0.03,True,0.0009,0.03
KXNFLSPREAD-25OCT20TBDET-TB4,Tampa Bay wins by over 4.5 points?,no,0.0,2025-10,mid,last_preclose,1761014394,1761012000.0,2394.0,0.01,True,0.0001,0.01
KXNFLTOTAL-25OCT12CINGB-48,Cincinnati at Green Bay: Total Points Total Points?,no,0.0,2025-10,mid,last_preclose,1760312086,1760310000.0,2086.0,0.05,True,0.0025000000000000005,0.05
KXNHLTOTAL-25OCT23SJNYR-5,San Jose vs New York R: Total Points,yes,1.0,2025-10,mid,last_preclose,1761271837,1761267600.0,4237.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXPICKLEBALL-MIXEDDOUBLES25OCT07-PARNEW,Will Catherine Parenteau/Riley Newman win the PPA Tour Virginia Beach Cup - Mixed Doubles Winner?,no,0.0,2025-10,mid,last_preclose,1760368433,1759950000.0,418433.0,0.01,True,0.0001,0.01
KXBRASILEIROGAME-25NOV09CRUFLU-CRU,Cruzeiro EC MG vs Fluminense FC RJ Winner?,no,0.0,2025-11,high,last_preclose,1762722304,1762722000.0,304.0,0.01,True,0.0001,0.01
KXFIFAGAME-25NOV13CMRCOD-CMR,Cameroon vs Congo DR Winner?,no,0.0,2025-11,high,last_preclose,1763068222,1763067600.0,622.0,0.01,True,0.0001,0.01
KXFIFAGAME-25NOV15BIHROU-TIE,Bosnia and Herzegovina vs Romania Winner?,no,0.0,2025-11,high,last_preclose,1763243105,1763240400.0,2705.0,0.41,True,0.16809999999999997,0.41
KXFIFAGAME-25NOV18MARUGA-MAR,Morocco vs Uganda Winner?,yes,1.0,2025-11,high,last_preclose,1763499936,1763499600.0,336.0,0.99,True,0.00010000000000000018,0.010000000000000009
KXMLBSPREAD-25NOV01LADTOR-LAD1,Los Angeles D wins by over 1.5 runs?,no,0.0,2025-11,high,last_preclose,1762057482,1762056000.0,1482.0,0.28,True,0.07840000000000001,0.28
KXNBAGAME-25NOV01MINCHA-MIN,Minnesota vs Charlotte Winner?,yes,1.0,2025-11,high,last_preclose,1762044315,1762041600.0,2715.0,0.95,True,0.0025000000000000044,0.050000000000000044
KXNBAGAME-25NOV17LACPHI-LAC,Los Angeles C vs Philadelphia Winner?,no,0.0,2025-11,high,last_preclose,1763434181,1763431200.0,2981.0,0.83,True,0.6889,0.83
