ticker,title,event_ticker,market_type,status,result,outcome,created_time,open_time,close_time,settlement_ts,volume_fp,liquidity_dollars,open_interest_fp,resolution_month,source,liquidity_proxy,liquidity_bucket,stratum,sample_seed,liquidity_proxy_column
KXTOURDEFRANCE-25-TPID,Will the Tom Pidcock win the Tour de France?,KXTOURDEFRANCE-25,binary,finalized,no,0.0,2025-06-18T19:53:36.13451Z,2025-06-18 21:00:00+00:00,2025-07-29 01:30:30.189356+00:00,2025-07-29T01:35:33.861164Z,10.0,0.0,0.0,2025-07,historical,10.0,low,2025-07__low,20260409,volume_fp
KXSECPRESSMENTION-25DEC30-PAUL,Will the White House Press Secretary say Rand Paul at her next press briefing?,KXSECPRESSMENTION-25DEC30,binary,finalized,no,0.0,2025-06-30T03:57:28.276312Z,2025-06-30 04:00:00+00:00,2025-07-01 03:49:06.357901+00:00,2025-07-01T04:19:09.446095Z,1107.0,0.0,0.0,2025-07,historical,1107.0,mid,2025-07__mid,20260409,volume_fp
KXTHEOPEN-25-SIM,Will the Sungjae Im win the The Open Championship Winner??,KXTHEOPEN-25,binary,finalized,no,0.0,2025-07-11T18:14:04.064854Z,2025-07-11 18:30:00+00:00,2025-07-20 18:01:53.298177+00:00,2025-07-20T18:32:12.042208Z,8186.0,0.0,0.0,2025-07,historical,8186.0,mid,2025-07__mid,20260409,volume_fp
KXNFLSPREAD-25AUG22ATLDAL-DAL25,Dallas wins by over 25.5 points?,KXNFLSPREAD-25AUG22ATLDAL,binary,finalized,no,0.0,2025-08-19T00:01:38.351686Z,2025-08-19 00:06:00+00:00,2025-08-22 23:54:43.824435+00:00,2025-08-23T04:00:44.695775Z,0.0,0.0,0.0,2025-08,historical,0.0,all,2025-08__all,20260409,volume_fp
KXNFLSPREAD-25AUG23BUFTB-TB43,Tampa Bay wins by over 43.5 points?,KXNFLSPREAD-25AUG23BUFTB,binary,finalized,no,0.0,2025-08-19T00:02:33.653648Z,2025-08-19 00:07:00+00:00,2025-08-24 11:54:22.993626+00:00,2025-08-24T16:00:23.785386Z,0.0,0.0,0.0,2025-08,historical,0.0,all,2025-08__all,20260409,volume_fp
KXNFLSPREAD-25AUG23HOUDET-HOU9,Houston wins by over 9.5 points?,KXNFLSPREAD-25AUG23HOUDET,binary,finalized,yes,1.0,2025-08-19T00:02:18.517905Z,2025-08-19 00:07:00+00:00,2025-08-23 16:25:41.171181+00:00,2025-08-23T20:31:41.724804Z,0.0,0.0,0.0,2025-08,historical,0.0,all,2025-08__all,20260409,volume_fp
KXNFLTOTAL-25AUG21NENYG-62,New England at New York G: Spread Total Points?,KXNFLTOTAL-25AUG21NENYG,binary,finalized,no,0.0,2025-08-19T00:01:30.066446Z,2025-08-19 00:06:00+00:00,2025-08-22 03:40:52.439383+00:00,2025-08-22T03:45:56.094028Z,0.0,0.0,0.0,2025-08,historical,0.0,all,2025-08__all,20260409,volume_fp
KXNFLTOTAL-25AUG23INDCIN-23,Indianapolis at Cincinnati: Spread Total Points?,KXNFLTOTAL-25AUG23INDCIN,binary,finalized,yes,1.0,2025-08-19T00:02:01.353985Z,2025-08-19 00:06:00+00:00,2025-08-23 18:11:16.265658+00:00,2025-08-23T22:17:16.694784Z,0.0,0.0,0.0,2025-08,historical,0.0,all,2025-08__all,20260409,volume_fp
KXNFLTOTAL-25AUG23LACSF-65,Los Angeles C at San Francisco: Spread Total Points?,KXNFLTOTAL-25AUG23LACSF,binary,finalized,no,0.0,2025-08-19T00:02:41.411554Z,2025-08-19 00:07:00+00:00,2025-08-24 11:54:28.111769+00:00,2025-08-24T16:00:28.735208Z,0.0,0.0,0.0,2025-08,historical,0.0,all,2025-08__all,20260409,volume_fp
KXMLBGAME-25AUG22WSHPHI-PHI,Washington at Philadelphia Winner?,KXMLBGAME-25AUG22WSHPHI,binary,finalized,no,0.0,2025-08-22T04:35:25.268404Z,2025-08-22 12:00:00+00:00,2025-08-23 01:36:35.051015+00:00,2025-08-23T01:44:55.705638Z,179095.0,0.0,0.0,2025-08,historical,179095.0,high,2025-08__high,20260409,volume_fp
KXPGATOUR-FSJC25-JSPA,Will J.J. Spaun win the FedEx St. Jude Championship?,KXPGATOUR-FSJC25,binary,finalized,no,0.0,2025-08-02T00:00:43.931989Z,2025-08-02 00:05:00+00:00,2025-08-10 23:13:58.006165+00:00,2025-08-10T23:15:05.679692Z,4538017.0,0.0,0.0,2025-08,historical,4538017.0,high,2025-08__high,20260409,volume_fp
