ticker,title,result,outcome,resolution_month,liquidity_bucket,timepoint,target_ts,candle_end_ts,time_diff_seconds,implied_prob,matched
KXATPMATCH-25JUL02DIMMOU-DIM,Will Grigor Dimitrov be a winner of the round of 64 of Wimbledon Men Singles?,yes,1.0,2025-07,high,1d_before_close,1751469924,1751468400.0,1524.0,0.64,True
KXATPMATCH-25JUL02DIMMOU-DIM,Will Grigor Dimitrov be a winner of the round of 64 of Wimbledon Men Singles?,yes,1.0,2025-07,high,6h_before_close,1751534724,,,,False
KXATPMATCH-25JUL02DIMMOU-DIM,Will Grigor Dimitrov be a winner of the round of 64 of Wimbledon Men Singles?,yes,1.0,2025-07,high,1h_before_close,1751552724,1751551200.0,1524.0,0.73,True
KXATPMATCH-25JUL02DIMMOU-DIM,Will Grigor Dimitrov be a winner of the round of 64 of Wimbledon Men Singles?,yes,1.0,2025-07,high,last_preclose,1751556324,1751554800.0,1524.0,0.71,True
KXATPMATCH-25JUL19KOVSHA-SHA,Will Denis Shapovalov be a winner of the final of ATP Los Cabos?,yes,1.0,2025-07,high,1d_before_close,1752899457,,,,False
KXATPMATCH-25JUL19KOVSHA-SHA,Will Denis Shapovalov be a winner of the final of ATP Los Cabos?,yes,1.0,2025-07,high,6h_before_close,1752964257,1752966000.0,1743.0,0.73,True
KXATPMATCH-25JUL19KOVSHA-SHA,Will Denis Shapovalov be a winner of the final of ATP Los Cabos?,yes,1.0,2025-07,high,1h_before_close,1752982257,1752984000.0,1743.0,0.95,True
KXATPMATCH-25JUL19KOVSHA-SHA,Will Denis Shapovalov be a winner of the final of ATP Los Cabos?,yes,1.0,2025-07,high,last_preclose,1752985857,1752984000.0,1857.0,0.95,True
KXMLBGAME-25JUL13MIABAL-BAL,Miami at Baltimore Winner?,no,0.0,2025-07,high,1d_before_close,1752357829,,,,False
KXMLBGAME-25JUL13MIABAL-BAL,Miami at Baltimore Winner?,no,0.0,2025-07,high,6h_before_close,1752422629,1752422400.0,229.0,0.55,True
KXMLBGAME-25JUL13MIABAL-BAL,Miami at Baltimore Winner?,no,0.0,2025-07,high,1h_before_close,1752440629,1752440400.0,229.0,0.03,True
KXMLBGAME-25JUL13MIABAL-BAL,Miami at Baltimore Winner?,no,0.0,2025-07,high,last_preclose,1752444229,1752444000.0,229.0,0.01,True
KXPGATOUR-JDC25-TLAW,Will Thriston Lawrence win the John Deere Classic?,no,0.0,2025-07,high,1d_before_close,1751758740,1751742000.0,16740.0,0.01,True
KXPGATOUR-JDC25-TLAW,Will Thriston Lawrence win the John Deere Classic?,no,0.0,2025-07,high,6h_before_close,1751823540,1751817600.0,5940.0,0.01,True
KXPGATOUR-JDC25-TLAW,Will Thriston Lawrence win the John Deere Classic?,no,0.0,2025-07,high,1h_before_close,1751841540,,,,False
KXPGATOUR-JDC25-TLAW,Will Thriston Lawrence win the John Deere Classic?,no,0.0,2025-07,high,last_preclose,1751845140,1751817600.0,27540.0,0.01,True
KXTHEOPEN-TOP1025-THAT,Will Tyrrell Hatton finish top 10 in The Open (including ties)?,no,0.0,2025-07,high,1d_before_close,1752891186,1752890400.0,786.0,0.61,True
KXTHEOPEN-TOP1025-THAT,Will Tyrrell Hatton finish top 10 in The Open (including ties)?,no,0.0,2025-07,high,6h_before_close,1752955986,1752955200.0,786.0,0.76,True
KXTHEOPEN-TOP1025-THAT,Will Tyrrell Hatton finish top 10 in The Open (including ties)?,no,0.0,2025-07,high,1h_before_close,1752973986,1752973200.0,786.0,0.77,True
KXTHEOPEN-TOP1025-THAT,Will Tyrrell Hatton finish top 10 in The Open (including ties)?,no,0.0,2025-07,high,last_preclose,1752977586,1752976800.0,786.0,0.77,True
KXTOURDEFRANCE-25-TPID,Will the Tom Pidcock win the Tour de France?,no,0.0,2025-07,low,1d_before_close,1753666230,,,,False
KXTOURDEFRANCE-25-TPID,Will the Tom Pidcock win the Tour de France?,no,0.0,2025-07,low,6h_before_close,1753731030,,,,False
KXTOURDEFRANCE-25-TPID,Will the Tom Pidcock win the Tour de France?,no,0.0,2025-07,low,1h_before_close,1753749030,,,,False
KXTOURDEFRANCE-25-TPID,Will the Tom Pidcock win the Tour de France?,no,0.0,2025-07,low,last_preclose,1753752630,1751515200.0,2237430.0,0.02,True
KXSECPRESSMENTION-25DEC30-PAUL,Will the White House Press Secretary say Rand Paul at her next press briefing?,no,0.0,2025-07,mid,1d_before_close,1751255346,,,,False
KXSECPRESSMENTION-25DEC30-PAUL,Will the White House Press Secretary say Rand Paul at her next press briefing?,no,0.0,2025-07,mid,6h_before_close,1751320146,,,,False
KXSECPRESSMENTION-25DEC30-PAUL,Will the White House Press Secretary say Rand Paul at her next press briefing?,no,0.0,2025-07,mid,1h_before_close,1751338146,1751338800.0,654.0,0.01,True
KXSECPRESSMENTION-25DEC30-PAUL,Will the White House Press Secretary say Rand Paul at her next press briefing?,no,0.0,2025-07,mid,last_preclose,1751341746,1751338800.0,2946.0,0.01,True
KXTHEOPEN-25-SIM,Will the Sungjae Im win the The Open Championship Winner??,no,0.0,2025-07,mid,1d_before_close,1752948113,1752940800.0,7313.0,0.01,True
KXTHEOPEN-25-SIM,Will the Sungjae Im win the The Open Championship Winner??,no,0.0,2025-07,mid,6h_before_close,1753012913,,,,False
KXTHEOPEN-25-SIM,Will the Sungjae Im win the The Open Championship Winner??,no,0.0,2025-07,mid,1h_before_close,1753030913,,,,False
KXTHEOPEN-25-SIM,Will the Sungjae Im win the The Open Championship Winner??,no,0.0,2025-07,mid,last_preclose,1753034513,1752940800.0,93713.0,0.01,True
KXNFLSPREAD-25AUG22ATLDAL-DAL25,Dallas wins by over 25.5 points?,no,0.0,2025-08,all,1d_before_close,1755820483,,,,False
KXNFLSPREAD-25AUG22ATLDAL-DAL25,Dallas wins by over 25.5 points?,no,0.0,2025-08,all,6h_before_close,1755885283,,,,False
KXNFLSPREAD-25AUG22ATLDAL-DAL25,Dallas wins by over 25.5 points?,no,0.0,2025-08,all,1h_before_close,1755903283,,,,False
KXNFLSPREAD-25AUG22ATLDAL-DAL25,Dallas wins by over 25.5 points?,no,0.0,2025-08,all,last_preclose,1755906883,,,,False
KXNFLSPREAD-25AUG23BUFTB-TB43,Tampa Bay wins by over 43.5 points?,no,0.0,2025-08,all,1d_before_close,1755950062,,,,False
KXNFLSPREAD-25AUG23BUFTB-TB43,Tampa Bay wins by over 43.5 points?,no,0.0,2025-08,all,6h_before_close,1756014862,,,,False
