ticker,endpoint_type,success,candlestick_count,error
KXNCAAFSPREAD-25NOV18WMUNIU-NIU6,historical,True,26,
KXNCAAFSPREAD-25NOV22KSUUTAH-UTAH23,historical,True,97,
KXNCAAFSPREAD-25NOV22MINNNW-NW17,historical,True,43,
KXNCAAFSPREAD-25NOV22PITTGT-PITT7,historical,True,53,
KXNCAAFSPREAD-25NOV22TENNFLA-FLA3,historical,True,62,
KXNCAAFSPREAD-25NOV28ARIZASU-ARIZ3,historical,True,112,
KXNCAAFSPREAD-25NOV29UTEPDEL-UTEP7,historical,True,70,
KXNCAAFSPREAD-25OCT11SCARLSU-LSU7,historical,True,74,
KXNCAAFSPREAD-25OCT11SJSUWYO-WYO9,historical,True,37,
KXNCAAFSPREAD-25OCT15DELJVST-DEL1,historical,True,54,
KXNCAAFSPREAD-25OCT18BAYTCU-BAY4,historical,True,44,
KXNCAAFSPREAD-25OCT18MSUIND-IND20,historical,True,64,
KXNCAAFSPREAD-25OCT18UNLVBSU-BSU3,historical,True,38,
KXNCAAFSPREAD-25OCT25TXAMLSU-LSU8,historical,True,64,
KXNCAAFSPREAD-25OCT29JVSTMTU-JVST7,historical,True,9,
KXNCAAFSPREAD-25SEP13AFAUSU-USU4,historical,True,52,
KXNCAAFTOTAL-25AUG29WIUILL-63,historical,True,207,
KXNCAAFTOTAL-25DEC17ULLDEL-49,historical,True,163,
KXNCAAFTOTAL-25NOV08KUARIZ-56,historical,True,10,
KXNCAAFTOTAL-25NOV15MDILL-44,historical,True,32,
KXNCAAFTOTAL-25NOV22NEVWYO-38,historical,True,80,
KXNCAAFTOTAL-25NOV29COLOKSU-45,historical,True,100,
KXNCAAFTOTAL-25NOV29NDSTAN-41,historical,True,89,
KXNCAAFTOTAL-25OCT04ILLPUR-51,historical,True,26,
KXNCAAFTOTAL-25OCT11M-OHAKR-43,historical,True,42,
KXNCAAFTOTAL-25OCT11SCARLSU-37,historical,True,41,
KXNCAAFTOTAL-25OCT23USAGAST-53,historical,True,28,
KXNCAAFTOTAL-25OCT25BALLNIU-44,historical,True,23,
KXNCAAFTOTAL-25OCT25ILLWASH-61,historical,True,47,
KXNCAAFTOTAL-25OCT25WMUM-OH-47,historical,True,24,
KXNCAAFTOTAL-25SEP13USFMIA-61,historical,True,50,
KXNCAAFTOTAL-25SEP20ULLEMU-53,historical,True,67,
KXNCAAMBGAME-25DEC13MEMLOU-MEM,historical,True,55,
KXNCAAMBGAME-25DEC16BELEVAN-BEL,historical,True,56,
KXNCAAMBGAME-25NOV03ARIZFLA-FLA,historical,True,126,
KXNCAAMBGAME-26JAN03UVMUNH-UNH,historical,True,52,
KXNCAAMBGAME-26JAN07SLUVCU-SLU,historical,True,56,
KXNCAAMBGAME-26JAN17LMCCHS-LMC,live,True,53,
KXNCAAMBGAME-26JAN24YALEPENN-YALE,live,True,56,
KXNCAAMBSPREAD-25DEC01TARLCIN-CIN32,historical,True,15,
KXNCAAMBSPREAD-25DEC02CONNKU-KU2,historical,True,18,
KXNCAAMBSPREAD-25DEC05CINXAV-XAV7,historical,True,20,
KXNCAAMBSPREAD-25DEC06PENNVILL-VILL34,historical,True,4,
KXNCAAMBSPREAD-25DEC07FAUFGCU-FAU8,historical,True,14,
KXNCAAMBSPREAD-25DEC10FDUFOR-FOR25,historical,True,23,
KXNCAAMBSPREAD-25DEC13UTSACOLO-COLO12,historical,True,23,
KXNCAAMBSPREAD-25DEC14KENTPORT-KENT13,historical,True,17,
KXNCAAMBSPREAD-25DEC15NIAGVCU-VCU44,historical,True,23,
KXNCAAMBSPREAD-25DEC20CHSIND-IND45,historical,True,17,
KXNCAAMBSPREAD-25DEC21UNCAUAB-UAB2,historical,True,21,
KXNCAAMBSPREAD-25DEC23VILLHALL-VILL1,historical,True,26,
KXNCAAMBSPREAD-25DEC29JKSTTCU-TCU21,historical,True,25,
KXNCAAMBSPREAD-25DEC30UNMBSU-BSU20,historical,True,22,
KXNCAAMBSPREAD-25NOV11MONTUNLV-UNLV3,historical,True,12,
KXNCAAMBSPREAD-25NOV11NAUARIZ-ARIZ25,historical,True,8,
KXNCAAMBSPREAD-25NOV12CPCSU-CSU19,historical,True,20,
KXNCAAMBSPREAD-25NOV12SIESBON-SBON10,historical,True,25,
KXNCAAMBSPREAD-25NOV14COLGILL-ILL44,historical,True,3,
KXNCAAMBSPREAD-25NOV14HPUAB-UAB7,historical,True,9,
KXNCAAMBSPREAD-25NOV15WMSJU-SJU37,historical,True,18,
KXNCAAMBSPREAD-25NOV17RICETENN-TENN12,historical,True,15,
KXNCAAMBSPREAD-25NOV18SACUCLA-UCLA39,historical,True,22,
KXNCAAMBSPREAD-25NOV18UTMFSU-FSU7,historical,True,15,
KXNCAAMBSPREAD-25NOV20TROYUSC-USC28,historical,True,19,
KXNCAAMBSPREAD-25NOV21CHARAPP-CHAR6,historical,True,16,
KXNCAAMBSPREAD-25NOV21USUTULN-USU23,historical,True,12,
KXNCAAMBSPREAD-25NOV22PROVPSU-PROV10,historical,True,14,
KXNCAAMBSPREAD-25NOV24ASUTEX-TEX13,historical,True,13,
KXNCAAMBSPREAD-25NOV24GWMTU-MTU8,historical,True,9,
KXNCAAMBSPREAD-25NOV27ARKDUKE-ARK4,historical,True,22,
KXNCAAMBSPREAD-25NOV28PROVFLA-PROV1,historical,True,4,
KXNCAAMBSPREAD-26JAN03HOUCIN-HOU11,historical,True,22,
KXNCAAMBSPREAD-26JAN06SCARLSU-LSU3,historical,True,24,
KXNCAAMBSPREAD-26JAN08SFLMU-SF1,live,True,31,
KXNCAAMBSPREAD-26JAN10GTMIA-MIA26,live,True,14,
KXNCAAMBSPREAD-26JAN10MSSTUK-UK13,live,True,26,
KXNCAAMBSPREAD-26JAN14IONARID-IONA7,live,True,26,
KXNCAAMBSPREAD-26JAN14PITTGT-PITT13,live,True,26,
KXNCAAMBSPREAD-26JAN17GTNCST-NCST6,live,True,20,
KXNCAAMBSPREAD-26JAN19MRMKMRST-MRMK8,live,True,7,
KXNCAAMBSPREAD-26JAN20SJSUNEV-NEV31,live,True,25,
KXNCAAMBSPREAD-26JAN21PFWDET-PFW14,live,True,25,
KXNCAAMBSPREAD-26JAN21UNCASCUS-SCUS18,live,True,15,
KXNCAAMBSPREAD-26JAN22USFUAB-UAB13,live,True,20,
KXNCAAMBSPREAD-26JAN24MDMSU-MSU9,live,True,19,
KXNCAAMBSPREAD-26JAN24UTAHBYU-BYU30,live,True,23,
KXNCAAMBTOTAL-25DEC02TENNSYR-136,historical,True,23,
KXNCAAMBTOTAL-25DEC03INDMINN-126,historical,True,16,
KXNCAAMBTOTAL-25DEC06DUKEMSU-141,historical,True,25,
KXNCAAMBTOTAL-25DEC13GWFLA-163,historical,True,24,
KXNCAAMBTOTAL-25DEC13JKSTNW-137,historical,True,19,
KXNCAAMBTOTAL-25DEC13MHUDAV-128,historical,True,18,
KXNCAAMBTOTAL-25DEC13MHUDAV-134,historical,True,19,
KXNCAAMBTOTAL-25DEC13MSUPSU-138,historical,True,21,
KXNCAAMBTOTAL-25DEC16UNCOTTU-156,historical,True,28,
KXNCAAMBTOTAL-25DEC18WCUUGA-154,historical,True,20,
KXNCAAMBTOTAL-25DEC20GCWYO-139,historical,True,13,
KXNCAAMBTOTAL-25DEC21COFCNKU-151,historical,True,20,
KXNCAAMBTOTAL-25DEC21CSFOKST-179,historical,True,22,
KXNCAAMBTOTAL-25DEC22CMUWIS-163,historical,True,22,
KXNCAAMBTOTAL-25DEC22PVLSU-156,historical,True,24,
KXNCAAMBTOTAL-25DEC22USDWASH-153,historical,True,24,
KXNCAAMBTOTAL-25DEC30BUTCREI-137,historical,True,22,
KXNCAAMBTOTAL-25NOV08PACNEV-143,historical,True,29,
KXNCAAMBTOTAL-25NOV08PROVVT-154,historical,True,22,
KXNCAAMBTOTAL-25NOV08UMBCDAY-162,historical,True,10,
KXNCAAMBTOTAL-25NOV10NIUGC-176,historical,True,22,
KXNCAAMBTOTAL-25NOV11AMCCKU-162,historical,True,15,
KXNCAAMBTOTAL-25NOV11EIUND-141,historical,True,21,
KXNCAAMBTOTAL-25NOV11MURRSMU-160,historical,True,21,
KXNCAAMBTOTAL-25NOV12UALRMARQ-158,historical,True,30,
KXNCAAMBTOTAL-25NOV14UCFTXAM-170,historical,True,27,
KXNCAAMBTOTAL-25NOV21DETMSU-136,historical,True,7,
KXNCAAMBTOTAL-25NOV21PFWSLU-150,historical,True,12,
KXNCAAMBTOTAL-25NOV21USUTULN-161,historical,True,15,
KXNCAAMBTOTAL-25NOV24LMUFAU-154,historical,True,26,
KXNCAAMBTOTAL-25NOV25BAYSJU-159,historical,True,18,
KXNCAAMBTOTAL-25NOV28DEPGT-158,historical,True,11,
KXNCAAMBTOTAL-25NOV28MIAGTWN-145,historical,True,9,
KXNCAAMBTOTAL-25NOV28SMUMSST-164,historical,True,26,
KXNCAAMBTOTAL-26JAN03CBUTARL-141,historical,True,17,
KXNCAAMBTOTAL-26JAN07FIUJVST-145,historical,True,21,
KXNCAAMBTOTAL-26JAN08PEPPUSD-144,live,True,29,
KXNCAAMBTOTAL-26JAN10NCCUCOPP-145,live,True,13,
KXNCAAMBTOTAL-26JAN10USUBSU-147,live,True,27,
KXNCAAMBTOTAL-26JAN14FIUKENN-171,live,True,26,
KXNCAAMBTOTAL-26JAN14ULLTXST-135,live,True,25,
KXNCAAMBTOTAL-26JAN17MOSUMTU-134,live,True,22,
KXNCAAMBTOTAL-26JAN17SHSUFIU-168,live,True,20,
KXNCAAMBTOTAL-26JAN19LAMUNO-161,live,True,14,
KXNCAAMBTOTAL-26JAN21GTWNVILL-137,live,True,20,
KXNCAAMBTOTAL-26JAN21KENNSHSU-166,live,True,24,
KXNCAAMBTOTAL-26JAN21UNAQUC-162,live,True,17,
KXNCAAMBTOTAL-26JAN23LIUSTNH-124,live,True,18,
KXNCAAMBTOTAL-26JAN24AMCCIW-128,live,True,16,
KXNCAAMBTOTAL-26JAN24MURRUNI-153,live,True,17,
KXNCAAMBTOTAL-26JAN24UVMBRY-134,live,True,15,
KXNCAAMBTOTAL-26JAN28BELVALP-144,live,True,25,
KXNCAAMBTOTAL-26JAN28BUCKLAF-150,live,True,11,
KXNCAAWBGAME-25DEC02ESCSEA-ESC,historical,True,65,
KXNCAAWBGAME-25NOV20HOUUTRGV-HOU,historical,True,10,
KXNCAAWBGAME-25NOV30MSUCLEM-CLEM,historical,True,29,
KXNCAAWBGAME-26JAN01FLATENN-FLA,historical,True,63,
KXNCAAWBGAME-26JAN14DETCLEV-DET,live,True,65,
KXNCAAWBGAME-26JAN16CPHAW-CP,live,True,49,
